Topic,Difficulty,Exercise Description
TypeScript Functions Basics,Advanced,"Build functions with different parameter combinations. Show how optional and default parameters work together. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Beginner,"Repeat code multiple times. Discover different loop structures and their differences. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Beginner,"Loop through arrays and objects. Find different ways to access items during iteration. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Beginner,"Create loops inside loops. Discover how they interact and what they generate. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Intermediate,"Stop loops early or skip iterations. Discover keywords to control loop behavior. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Intermediate,"Compare different loop approaches. Discover when to use each method. Reference: https://www.typescriptlang.org/docs/"
TypeScript Loops Basics,Advanced,"Implement complex loop patterns and understand when loops can be replaced with other approaches. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Beginner,"Make code decisions based on conditions. Discover how to run different code based on true/false. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Beginner,"Create multiple conditions to match different cases. Discover an alternative to nested if-else. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Beginner,"Create quick decisions for simple conditions. Find a shorthand for if-else. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Intermediate,"Build complex decision logic with multiple conditions. Discover how to combine conditions. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Intermediate,"Simplify code by catching errors early with guard patterns. Refactor complex conditions. Reference: https://www.typescriptlang.org/docs/"
TypeScript Conditionals Basics,Advanced,"Create sophisticated conditional patterns that handle multiple scenarios effectively. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Beginner,"Create a switch statement that matches different string values. Add a default case for unmatched values. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Beginner,"Create a switch statement with multiple cases and break statements. Show what happens when breaks are missing. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Beginner,"Compare a switch statement with multiple if-else statements. Show the differences. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Intermediate,"Create a switch statement that handles different input types. Show how TypeScript checks types. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Intermediate,"Build a switch-based system for handling different command or state values. Use break to control flow. Reference: https://www.typescriptlang.org/docs/"
TypeScript Switch-Case,Advanced,"Create complex switch logic with nested conditions. Show proper use of break and default cases. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Beginner,"Do mathematical calculations. Discover the symbols used for different operations. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Beginner,"Compare values to get true or false. Discover the difference between similar operators. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Beginner,"Combine conditions with true/false logic. Discover operators that work with conditions. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Intermediate,"Build expressions combining multiple operators. Discover how order matters. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Intermediate,"Understand when different operators apply and how they interact. Create logic expressions. Reference: https://www.typescriptlang.org/docs/"
TypeScript Operators Basics,Advanced,"Create complex expressions and understand operator precedence and performance. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Beginner,"Create arrays with fixed structure where each position has a different type. Access items by position. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Beginner,"Extract values from tuples into separate variables. Discover syntax for this extraction. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Beginner,"Create a function that returns multiple values in a specific order. Pass them to another function. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Intermediate,"Build utility functions that create and work with tuples. Discover patterns for tuple manipulation. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Intermediate,"Use tuples in function returns to describe what's returned. Extract values multiple ways. Reference: https://www.typescriptlang.org/docs/"
TypeScript Tuples,Advanced,"Create advanced tuple patterns and handle variable-length tuples safely. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Beginner,"Create types that accept multiple different types. Discover how to determine which type you have. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Beginner,"Create functions that accept different types. Find how to handle each type safely. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Beginner,"Use specific string values as types. Discover how to restrict values to a list. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Intermediate,"Build flexible systems that handle different data types. Discover patterns for safe handling. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Intermediate,"Create objects where the content depends on a type field. Discover how TypeScript helps with these. Reference: https://www.typescriptlang.org/docs/"
TypeScript Union Types,Advanced,"Implement complex type checking and manipulation patterns for flexible systems. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Beginner,"Create functions that work with operations that take time. Wait for them to complete. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Beginner,"Handle operations that don't complete immediately. Discover how to write code that waits. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Beginner,"Create multiple operations that happen in order. Watch how they wait for each other. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Intermediate,"Handle errors when async operations fail. Discover how to catch problems. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Intermediate,"Create async functions that perform multiple sequential operations. Show how each await waits for the previous one. Reference: https://www.typescriptlang.org/docs/"
TypeScript Async/Await,Advanced,"Build sophisticated async patterns for complex workflows. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Beginner,"Create a blueprint for an object with properties and behaviors. Instantiate it and use its properties and methods. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Beginner,"Create a class that automatically sets up properties when you create a new instance. Find the special method that runs automatically. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Beginner,"Create methods inside a class that use the object's own data. Discover the keyword that refers to the current object. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Intermediate,"Create a class where some data should be private (hidden) and some public (visible). Find how to control access to properties. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Intermediate,"Create methods that work with class properties. Show how this keyword refers to the current object's properties. Reference: https://www.typescriptlang.org/docs/"
OOP: Classes Basics,Advanced,"Create shared methods and properties that belong to the class itself, not instances. Discover how to access them without creating objects. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Beginner,"Create a contract that describes what properties and methods an object should have. Create a class that follows this contract. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Beginner,"Use an interface to specify what parameters a function should accept. Find how TypeScript enforces this contract. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Beginner,"Create an interface that extends another interface. Discover how to build on existing contracts. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Intermediate,"Create multiple interfaces describing different object shapes. Implement a class that follows each interface. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Intermediate,"Make a single class follow multiple interfaces. Discover how to implement multiple contracts. Reference: https://www.typescriptlang.org/docs/"
OOP: Interfaces Basics,Advanced,"Design interfaces for complex scenarios. Show how interfaces create a contract that multiple different classes can fulfill. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Beginner,"Create a parent class and child class. Discover which properties and methods the child automatically has. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Beginner,"Change a method in the child class to behave differently. Discover how to call the parent's version of the method. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Beginner,"Build three classes where each extends the previous one. Discover how properties flow through the hierarchy. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Intermediate,"Create child classes that properly initialize parent data. Discover the special method needed for this. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Intermediate,"Override methods in child classes and show different behavior. Find how to access parent methods from child. Reference: https://www.typescriptlang.org/docs/"
OOP: Inheritance Basics,Advanced,"Build complex inheritance hierarchies with proper initialization and method override patterns. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Beginner,"Hide internal data in a class. Create public methods to access that data safely. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Beginner,"Create special methods that allow controlled access to hidden data. Add validation when data is modified. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Beginner,"Use different access levels to control what's visible. Discover how TypeScript enforces these boundaries. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Intermediate,"Design classes where internal properties depend on each other. Enforce rules to keep data consistent. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Intermediate,"Create validation in setter methods. Show what happens when invalid data is provided. Reference: https://www.typescriptlang.org/docs/"
OOP: Encapsulation Basics,Advanced,"Build classes with complex internal state. Show how encapsulation protects against invalid states. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Beginner,"Create a blueprint for a class that cannot be instantiated directly. Create child classes that implement it. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Beginner,"Define methods that child classes must implement. Discover how TypeScript enforces this requirement. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Beginner,"Create a partially implemented parent class with some abstract methods. Show how child classes complete the implementation. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Intermediate,"Build abstract classes with multiple abstract methods. Create child classes implementing different behaviors. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Intermediate,"Design an abstract factory that creates different types of objects. Discover how abstraction enables flexibility. Reference: https://www.typescriptlang.org/docs/"
OOP: Abstraction Basics,Advanced,"Create abstract hierarchies that define contracts at different levels. Show how abstraction guides implementation. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Beginner,"Create multiple classes implementing the same interface. Use them interchangeably. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Beginner,"Override methods in child classes to provide different behavior. Show the same method producing different results. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Beginner,"Create a collection of different types. Call the same method on all of them. Discover how each behaves differently. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Intermediate,"Build complex polymorphic hierarchies. Show how the type determines which method actually runs. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Intermediate,"Design multiple classes that fulfill the same interface. Show they can be used wherever that interface is expected. Reference: https://www.typescriptlang.org/docs/"
OOP: Polymorphism Basics,Advanced,"Create polymorphic hierarchies with proper design. Show how polymorphism reduces coupling and increases flexibility. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Beginner,"Create properties and methods that belong to the class itself, not instances. Use them without creating objects. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Beginner,"Create a counter that tracks how many instances have been created. Store it in a static property. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Beginner,"Create utility functions in a class that don't need instance data. Find how to access them. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Intermediate,"Build complex static patterns that initialize on demand. Create static factories that create instances. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Intermediate,"Implement a singleton - a class that only has one instance. Use static members to manage it. Reference: https://www.typescriptlang.org/docs/"
OOP: Static Members,Advanced,"Design systems using static members for shared configuration and factory methods. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Beginner,"Write code that might fail. Catch the error and handle it gracefully. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Beginner,"Create custom error types by throwing different error messages. Catch them and check the error message. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Beginner,"Create custom error classes. Throw them when something goes wrong. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Intermediate,"Create functions that throw errors in different situations. Use try-catch to handle them and continue execution. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Intermediate,"Use instanceof to check error types. Handle different errors based on their type. Reference: https://www.typescriptlang.org/docs/"
OOP: Exception Handling,Advanced,"Design systems with proper error handling at multiple levels. Show how errors flow through the application. Reference: https://www.typescriptlang.org/docs/"
Browser Navigation Basics,Beginner,"Open a browser and go to https://www.google.com. Find a way to get the HTTP response status code and print it to console."
Browser Navigation Basics,Beginner,"Navigate to https://www.google.com, then navigate to https://www.facebook.com. Find a way to get and print the current page URL after each navigation."
Browser Navigation Basics,Beginner,"Navigate to https://www.google.com, then https://www.facebook.com. Find a way to go back to the previous page. Print the URL after going back to verify you're on Google."
Browser Navigation Basics,Intermediate,"Navigate to 3 different pages in sequence (Google > Facebook > Wikipedia). Find methods to go back to the first page, then forward to the last page. Print URL at each step to verify."
Browser Navigation Basics,Intermediate,"Navigate to https://www.google.com. Find a way to reload/refresh the page. Check if the response status code is the same before and after refresh."
Browser Navigation Basics,Advanced,"Create a navigation scenario: Google > Facebook > Wikipedia > go back twice > go forward once > reload. Document all URLs and response statuses for each action. Verify you end up on the correct page."
Playwright: Page Info,Beginner,"Navigate to a page and extract page title using page.title(). Print title to console. Reference: https://playwright.dev/docs/api/class-page#page-title"
Playwright: Page Info,Beginner,"Navigate to a page and get current URL using page.url(). Compare URL before and after navigation. Reference: https://playwright.dev/docs/api/class-page#page-url"
Playwright: Page Info,Intermediate,"Fetch full page HTML using page.content(). Extract specific data from HTML (e.g., text, attributes). Reference: https://playwright.dev/docs/api/class-page#page-content"
Playwright: Page Info,Intermediate,"Extract page title, URL, and content in one test. Verify all three values are consistent with page state. Reference: https://playwright.dev/docs/api/class-page"
Playwright: Page Info,Advanced,"Create a page analyzer that extracts title, URL, and content, then parses content to find specific elements and data. Reference: https://playwright.dev/docs/api/class-page"
Playwright: Locators - getByRole,Beginner,"Use getByRole() to find a button on https://aa-practice-test-automation.vercel.app/. Find the 'Sign In' button by its role. Reference: https://playwright.dev/docs/locators#locate-by-role"
Playwright: Locators - getByRole,Beginner,"Use getByRole() to find textbox inputs. Fill a username and password field by their roles and names. Verify values were entered. Reference: https://playwright.dev/docs/locators#locate-by-role"
Playwright: Locators - getByRole,Beginner,"Use getByRole() with regex pattern matching. Find a button that partially matches text (e.g., /^Sign.*/). Click it and verify action. Reference: https://playwright.dev/docs/locators#locate-by-role"
Playwright: Locators - getByRole,Intermediate,"Use getByRole() with exact: true option. Find inputs with exact name matches. Compare behavior with and without exact: true. Reference: https://playwright.dev/docs/locators#locate-by-role"
Playwright: Locators - getByRole,Intermediate,"Use getByRole() to find checkboxes. Click 'Remember me' checkbox and verify checked state. Reference: https://playwright.dev/docs/locators#locate-by-role"
Playwright: Locators - getByLabel,Beginner,"Use getByLabel() to find inputs by their associated label text. Fill username and password fields using labels. Reference: https://playwright.dev/docs/locators#locate-by-label"
Playwright: Locators - getByLabel,Beginner,"Use getByLabel() when labels are case-sensitive. Match exact label text and fill the associated input. Reference: https://playwright.dev/docs/locators#locate-by-label"
Playwright: Locators - getByLabel,Intermediate,"Use getByLabel() with partial text matching. Find inputs where label contains (but doesn't exactly match) the search text. Reference: https://playwright.dev/docs/locators#locate-by-label"
Playwright: Locators - getByPlaceholder,Beginner,"Use getByPlaceholder() to find inputs by their placeholder text. Fill 'enter your user' and 'enter your pass' fields. Reference: https://playwright.dev/docs/locators#locate-by-placeholder"
Playwright: Locators - getByPlaceholder,Beginner,"Use getByPlaceholder() with exact text matching. Verify placeholder exists and fill the input. Reference: https://playwright.dev/docs/locators#locate-by-placeholder"
Playwright: Locators - getByPlaceholder,Intermediate,"Use getByPlaceholder() to chain multiple actions. Find input by placeholder, clear it, and fill with new value. Reference: https://playwright.dev/docs/locators#locate-by-placeholder"
Playwright: Locators - getByText,Beginner,"Use getByText() to find elements by their visible text. Find 'Welcome!' message and extract its text content. Reference: https://playwright.dev/docs/locators#locate-by-text"
Playwright: Locators - getByText,Beginner,"Use getByText() with exact matching. Find element with exact text and capture its content. Reference: https://playwright.dev/docs/locators#locate-by-text"
Playwright: Locators - getByText,Intermediate,"Use getByText() with regex patterns. Find elements with partial text matching using regular expressions. Reference: https://playwright.dev/docs/locators#locate-by-text"
Playwright: Locators - getByAltText,Beginner,"Use getByAltText() to find images by their alt text. Find 'Fork me' image on https://the-internet.herokuapp.com/ and click it. Reference: https://playwright.dev/docs/locators#locate-by-alt-text"
Playwright: Locators - getByAltText,Intermediate,"Use getByAltText() with complex page structures. Verify image is displayed before clicking. Reference: https://playwright.dev/docs/locators#locate-by-alt-text"
Playwright: Locators - getByTitle,Beginner,"Use getByTitle() to find elements by their title attribute. Find element with title='za3bola' and click it. Reference: https://playwright.dev/docs/locators#locate-by-title"
Playwright: Locators - getByTitle,Beginner,"Use getByTitle() to identify tooltips or help elements. Verify title attribute exists and access the element. Reference: https://playwright.dev/docs/locators#locate-by-title"
Playwright: Locators - getByTestId,Beginner,"Use getByTestId() with custom automation-id attribute. Configure test-id attribute using selectors.setTestIdAttribute(). Reference: https://playwright.dev/docs/locators#locate-by-test-id"
Playwright: Locators - getByTestId,Beginner,"Use getByTestId() to find username and password inputs. Fill them and click login button using test-ids. Reference: https://playwright.dev/docs/locators#locate-by-test-id"
Playwright: Locators - getByTestId,Intermediate,"Use getByTestId() with custom attribute names. Change test-id attribute and verify locators work correctly. Reference: https://playwright.dev/docs/locators#locate-by-test-id"
Playwright: Locators - Comparison,Intermediate,"Compare all getBy() locator methods on same element. Use Role, Label, Placeholder, Text, Alt, Title, and TestId. Show which methods work best in different scenarios. Reference: https://playwright.dev/docs/locators"
Playwright: Locators - Comparison,Advanced,"Build a helper function that tries multiple locator strategies (fallback pattern). Successfully find elements even if one strategy fails. Reference: https://playwright.dev/docs/locators"
Playwright: Locators - CSS Selector,Beginner,"Use page.locator() with CSS attribute selectors. Find inputs by automation-id attribute. Fill username and password using CSS selectors. Reference: https://playwright.dev/docs/locators#css-locator"
Playwright: Locators - CSS Selector,Beginner,"Use page.locator() with 'css=' prefix. Select button by its automation-id attribute. Click it and verify action. Reference: https://playwright.dev/docs/locators#css-locator"
Playwright: Locators - CSS Selector,Intermediate,"Use CSS selectors with various attribute matching (exact, partial, prefix). Compare behavior with getByRole and getByTestId. Reference: https://playwright.dev/docs/locators#css-locator"
Playwright: Locators - CSS Selector,Intermediate,"Combine multiple CSS selectors to find specific elements. Use attribute selectors like [attr='value']. Reference: https://playwright.dev/docs/locators#css-locator"
Playwright: Locators - XPath,Beginner,"Use page.locator() with XPath expressions. Find inputs by //input[@automation-id='username-input']. Fill the input field. Reference: https://playwright.dev/docs/locators#xpath-locator"
Playwright: Locators - XPath,Beginner,"Use page.locator() with 'xpath=' prefix. Find button by XPath and click it. Verify action completed. Reference: https://playwright.dev/docs/locators#xpath-locator"
Playwright: Locators - XPath,Intermediate,"Use XPath with different axis (.//, @, text(), etc.). Find elements using various XPath strategies. Reference: https://playwright.dev/docs/locators#xpath-locator"
Playwright: Locators - XPath,Intermediate,"Use XPath predicates to find specific elements by attributes and position. Compare with CSS selectors on same page. Reference: https://playwright.dev/docs/locators#xpath-locator"
Playwright: Locators - CSS vs XPath,Intermediate,"Compare CSS selector and XPath approaches for the same test scenario. Show pros/cons of each strategy. Reference: https://playwright.dev/docs/locators"
Playwright: Actions - Focus,Beginner,"Use locator.focus() to focus on an input field. Verify element has focus (check if focused element matches). Reference: https://playwright.dev/docs/api/class-locator#locator-focus"
Playwright: Actions - Blur,Beginner,"Use locator.blur() to remove focus from an input field. Verify element lost focus. Reference: https://playwright.dev/docs/api/class-locator#locator-blur"
Playwright: Actions - Focus and Blur,Intermediate,"Focus on one input field, then blur it, then focus on another. Verify focus state changes between elements. Reference: https://playwright.dev/docs/api/class-locator#locator-focus"
Playwright: Actions - Check Checkbox,Beginner,"Use locator.check() to check a checkbox. Verify checkbox is now checked. Reference: https://playwright.dev/docs/api/class-locator#locator-check"
Playwright: Actions - Uncheck Checkbox,Beginner,"Use locator.uncheck() to uncheck a checkbox. Verify checkbox is now unchecked. Reference: https://playwright.dev/docs/api/class-locator#locator-uncheck"
Playwright: Actions - Check Radio Button,Beginner,"Use locator.check() to select a radio button. Verify radio button is now selected. Reference: https://playwright.dev/docs/api/class-locator#locator-check"
Playwright: Actions - Toggle Checkbox,Intermediate,"Check a checkbox, then uncheck it. Verify state changes both ways. Reference: https://playwright.dev/docs/api/class-locator#locator-check"
Playwright: Actions - Multiple Checkboxes,Intermediate,"Check multiple checkboxes on a page. Verify each one is checked after action. Reference: https://playwright.dev/docs/api/class-locator#locator-check"
Playwright: Actions - Checkbox and Radio Flow,Intermediate,"Login to a page, navigate to checkbox/radio page, check checkbox, select radio button, verify both checked. Reference: https://playwright.dev/docs/input"
Playwright: Actions - Hover,Beginner,"Use locator.hover() to hover over an element. Verify hover state (e.g., tooltip appears). Reference: https://playwright.dev/docs/api/class-locator#locator-hover"
Playwright: Actions - Hover and Interact,Intermediate,"Hover over an element, then perform action (click, fill). Verify interaction works after hover. Reference: https://playwright.dev/docs/api/class-locator#locator-hover"
Playwright: Actions - PressSequentially,Beginner,"Use locator.pressSequentially() to type text character by character with delay. Verify each character appears. Reference: https://playwright.dev/docs/api/class-locator#locator-press-sequentially"
Playwright: Actions - PressSequentially with Delay,Intermediate,"Use pressSequentially() with delay option to simulate slow typing. Compare with instant fill(). Reference: https://playwright.dev/docs/api/class-locator#locator-press-sequentially"
Playwright: Actions - Press Keyboard Keys,Beginner,"Use locator.press() to press specific keys (Enter, Escape, Tab). Verify page response to key press. Reference: https://playwright.dev/docs/api/class-locator#locator-press"
Playwright: Actions - Press Keyboard Shortcuts,Intermediate,"Use press() with keyboard shortcuts (Control+a, Control+c, Control+v). Verify shortcut actions work. Reference: https://playwright.dev/docs/api/class-keyboard#keyboard-press"
Playwright: Actions - Select Option by Index,Beginner,"Use locator.selectOption() with index option. Select dropdown option by position. Verify correct option selected. Reference: https://playwright.dev/docs/api/class-locator#locator-select-option"
Playwright: Actions - Select Option by Value,Intermediate,"Use selectOption() with value or label. Verify dropdown displays selected option. Reference: https://playwright.dev/docs/api/class-locator#locator-select-option"
Playwright: Actions - Multi-Select Dropdown,Intermediate,"Use selectOption() with array of values for multi-select. Select multiple options at once. Verify all selected. Reference: https://playwright.dev/docs/api/class-locator#locator-select-option"
